Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
HOSPITAL PROVINCIAL DE ÁVILA (COMPLEJO ASISTENCIAL DE ÁVILA);05-C190-0001;CL. JESÚS DEL GRAN PODER 42  ;05003;AVILA;AVILA;920358027;920358021;OTROS CENTROS CON INTERNAMIENTO;APARATO DIGESTIVO#ATENCIÓN SANITARIA A DROGODEPENDIENTES#CARDIOLOGÍA#CUIDADOS PALIATIVOS#ENDOCRINOLOGÍA #ENFERMERÍA#FISIOTERAPIA#GERIATRÍA#HOSPITAL DE DÍA #MEDICINA INTERNA#NEUMOLOGÍA#OBTENCIÓN DE MUESTRAS#OFTALMOLOGÍA#PSICOLOGÍA CLÍNICA#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#REUMATOLOGÍA#TERAPIA OCUPACIONAL;GERENCIA  REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL PROVINCIAL DE ZAMORA (COMPLEJO ASISTENCIAL DE ZAMORA);49-C11-0003;CL. HERNÁN CORTÉS 40  ;49071;ZAMORA;ZAMORA;980512838;980521468;HOSPITALES GENERALES;ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#CIRUGÍA GENERAL Y DIGESTIVO#GINECOLOGÍA #HOSPITAL DE DÍA #MEDICINA INTERNA#ONCOLOGÍA #PSIQUIATRÍA#RADIODIAGNÓSTICO#RADIOTERAPIA#REHABILITACIÓN#URGENCIAS;JUNTA DE CASTILLA Y LEÓN;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL PSIQUIÁTRICO SAN LUIS;34-C14-0001;CL. CARRETERA DE BURGOS 0  ;34004;PALENCIA;PALENCIA;979165324;979165443;HOSPITALES DE SALUD MENTAL Y TRATAMIENTO DE TOXICOMANÍAS;ATENCIÓN SANITARIA DOMICILIARIA#CUIDADOS PALIATIVOS#ENFERMERÍA#FARMACIA#FISIOTERAPIA#GERIATRÍA#HOSPITAL DE DÍA #MEDICINA GENERAL /  DE FAMILIA#NEUROLOGÍA#OBTENCIÓN DE MUESTRAS#OTRAS UNIDADES ASISTENCIALES#PODOLOGÍA#PSIQUIATRÍA#TERAPIA OCUPACIONAL#URGENCIAS#VACUNACIÓN ;HERMANAS HOSPITALARIAS DEL SAGRADO CORAZÓN D JESÚS;ORGANIZACIONES NO GUBERNAMENTALES;
HOSPITAL RECOLETAS BURGOS;09-C11-0005;CL. CRUZ ROJA 1  ;09006;BURGOS;BURGOS;947244055;947240424;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#ANGIOLOGÍA Y CIRUGÍA VASCULAR#APARATO DIGESTIVO#BANCO DE EMBRIONES#BANCO DE SEMEN#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAXILOFACIAL#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#CIRUGÍA PEDIÁTRICA#CIRUGÍA PLASTICA Y REPARADORA#ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#FARMACIA#FECUNDACIÓN IN VITRO#FISIOTERAPIA#GINECOLOGÍA #INSEMINACIÓN ARTIFICIAL#LABORATORIO DE SEMEN PARA CAPACITACIÓN ESPERMÁTICA#LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#NEFROLOGÍA#NEUMOLOGÍA#NEUROCIRUGÍA#NEUROFISIOLOGÍA #NEUROLOGÍA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#ODONTOLOGÍA / ESTOMATOLOGÍA#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#PEDIATRÍA#PSIQUIATRÍA#RADIODIAGNÓSTICO#RECUPERACIÓN DE OOCITOS#REHABILITACIÓN#SERVICIO DE TRANSFUSIÓN#URGENCIAS#UROLOGÍA#VACUNACIÓN ;HOSPITAL RECOLETAS DE BURGOS, S.L.;PRIVADOS;
HOSPITAL RECOLETAS PALENCIA;34-C11-0003;AV. SIMÓN NIETO 31-34  ;34005;PALENCIA;PALENCIA;979747700;0;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#ANGIOLOGÍA Y CIRUGÍA VASCULAR#APARATO DIGESTIVO#CARDIOLOGÍA#CIRUGÍA ESTÉTICA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAXILOFACIAL#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#CIRUGÍA PLASTICA Y REPARADORA#CUIDADOS PALIATIVOS#DEPÓSITO DE MEDICAMENTOS#ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HOSPITAL DE DÍA #MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#NEUMOLOGÍA#NEUROLOGÍA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#PEDIATRÍA#PLANIFICACIÓN FAMILIAR#PODOLOGÍA#RADIODIAGNÓSTICO#SERVICIO DE TRANSFUSIÓN#URGENCIAS#UROLOGÍA#VACUNACIÓN ;HOSPITAL RECOLETAS DE CASTILLA Y LEÓN, S.L.U.;PRIVADOS;
HOSPITAL RECOLETAS SEGOVIA NUESTRA SEÑORA DE LA MISERICORDIA;40-C11-0002;CL. DOCTOR VELASCO 21-23  ;40003;SEGOVIA;SEGOVIA;921460115;921460117;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANESTESIA Y REANIMACIÓN#ANGIOLOGÍA Y CIRUGÍA VASCULAR#APARATO DIGESTIVO#CARDIOLOGÍA#CIRUGÍA ESTÉTICA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#CIRUGÍA PLASTICA Y REPARADORA#DEPÓSITO DE MEDICAMENTOS#DERMATOLOGÍA #ENDOCRINOLOGÍA #ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#FISIOTERAPIA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HOSPITAL DE DÍA #LOGOPEDIA#MEDICINA DE LA EDUCACIÓN FÍSICA Y EL DEPORTE#MEDICINA ESTÉTICA#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#NEUMOLOGÍA#NEUROLOGÍA#NUTRICIÓN Y DIETÉTICA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#PEDIATRÍA#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#REUMATOLOGÍA#SERVICIO DE TRANSFUSIÓN#URGENCIAS#UROLOGÍA#VACUNACIÓN ;HOSPITAL RECOLETAS SG. NªSª DE LA MISERICORDIA,SL;PRIVADOS;
HOSPITAL RECOLETAS ZAMORA;49-C11-0005;CL. PINAR 7  ;49023;ZAMORA;ZAMORA;980545300;980545309;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANESTESIA Y REANIMACIÓN#ANGIOLOGÍA Y CIRUGÍA VASCULAR#APARATO DIGESTIVO#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#DERMATOLOGÍA #ENDOCRINOLOGÍA #ENFERMERÍA#FISIOTERAPIA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HOSPITAL DE DÍA #LOGOPEDIA#MEDICINA DE LA EDUCACIÓN FÍSICA Y EL DEPORTE#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#NEFROLOGÍA#NEUMOLOGÍA#NEUROLOGÍA#OBTENCIÓN DE MUESTRAS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#OTRAS UNIDADES ASISTENCIALES#PSICOLOGÍA CLÍNICA#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#REUMATOLOGÍA#SERVICIO DE TRANSFUSIÓN#TRATAMIENTO DEL DOLOR#URGENCIAS#UROLOGÍA#VACUNACIÓN ;HOSPITAL RECOLETAS ZAMORA, S.L.U.;PRIVADOS;
HOSPITAL RESIDENCIA ASISTIDA LA LUZ;09-C13-0001;CL. DURATÓN 2  ;09000;ARANDA DE DUERO;BURGOS;947500150;947502029;HOSPITAL DE MEDIA Y LARGA ESTANCIA;DEPÓSITO DE MEDICAMENTOS#ENFERMERÍA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCIÓN DE MUESTRAS#RADIODIAGNÓSTICO#TERAPIA OCUPACIONAL#URGENCIAS;RESIDENCIA ASISTIDA DE LA LUZ, S.A.;PRIVADOS;
HOSPITAL RÍO CARRIÓN (COMPLEJO ASISTENCIAL DE PALENCIA);34-C11-0001;AV. DONANTES DE SANGRE 0  ;34005;PALENCIA;PALENCIA;979167000;979167014;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#APARATO DIGESTIVO#BIOQUÍMICA CLÍNICA#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#DIÁLISIS#ENDOCRINOLOGÍA #ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#EXTRACCIÓN DE ÓRGANOS#EXTRACCIÓN DE SANGRE PARA DONACIÓN#FARMACIA#FISIOTERAPIA#GERIATRÍA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HOSPITAL DE DÍA #IMPLANTACIÓN DE TEJIDOS#LABORATORIO DE HEMATOLOGÍA#LITOTRICIA RENAL#MEDICINA DEL TRABAJO#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTENSIVA #MEDICINA INTERNA#MEDICINA PREVENTIVA#MICROBIOLOGÍA Y PARASITOLOGÍA#NEFROLOGÍA#NEUMOLOGÍA#NEUROFISIOLOGÍA #NEUROLOGÍA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#OBTENCIÓN DE TEJIDOS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#PEDIATRÍA#PLANIFICACIÓN FAMILIAR#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#REUMATOLOGÍA#SERVICIO DE TRANSFUSIÓN#TERAPIA OCUPACIONAL#TRATAMIENTO DEL DOLOR#URGENCIAS#UROLOGÍA;GERENCIA  REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL SAN JUAN DE DIOS EN BURGOS;09-C13-0002;PS. DE LA ISLA 41  ;09003;BURGOS;BURGOS;947257730;947273009;HOSPITAL DE MEDIA Y LARGA ESTANCIA;ANÁLISIS CLÍNICOS#CUIDADOS PALIATIVOS#ENFERMERÍA#FARMACIA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#RADIODIAGNÓSTICO#REHABILITACIÓN#SERVICIO DE TRANSFUSIÓN#TERAPIA OCUPACIONAL;ORDEN HOSPITALARIA DE SAN JUAN DE DIOS;ORGANIZACIONES NO GUBERNAMENTALES;
HOSPITAL SAN JUAN DE DIOS LEÓN;24-C11-0007;AV. SAN IGNACIO DE LOYOLA 73  ;24010;SAN ANDRES DEL RABANEDO;LEON;987232300;987243470;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#ANGIOLOGÍA Y CIRUGÍA VASCULAR#APARATO DIGESTIVO#BIOQUÍMICA CLÍNICA#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAXILOFACIAL#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#CIRUGÍA PLASTICA Y REPARADORA#CUIDADOS PALIATIVOS#DERMATOLOGÍA #ENDOCRINOLOGÍA #ENFERMERÍA#FARMACIA#FISIOTERAPIA#GERIATRÍA#GINECOLOGÍA #HOSPITAL DE DÍA #IMPLANTACIÓN DE TEJIDOS#LABORATORIO DE HEMATOLOGÍA#LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#NEFROLOGÍA#NEUMOLOGÍA#NEUROCIRUGÍA#NEUROFISIOLOGÍA #NEUROLOGÍA#NUTRICIÓN Y DIETÉTICA#OBSTETRICIA#OFTALMOLOGÍA#OTORRINOLARINGOLOGÍA#PEDIATRÍA#PODOLOGÍA#PSICOLOGÍA CLÍNICA#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#SERVICIO DE TRANSFUSIÓN#TERAPIA OCUPACIONAL#URGENCIAS#UROLOGÍA;ORDEN HOSPITALARIA DE SAN JUAN DE DIOS;ORGANIZACIONES NO GUBERNAMENTALES;
HOSPITAL SAN TELMO (COMPLEJO ASISTENCIAL DE PALENCIA);34-C11-0002;AV. SAN TELMO   ;34004;PALENCIA;PALENCIA;979167000;979722075;HOSPITALES GENERALES;ANESTESIA Y REANIMACIÓN#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#CUIDADOS PALIATIVOS#DERMATOLOGÍA #ENFERMERÍA#FARMACIA#HOSPITAL DE DÍA #IMPLANTACIÓN DE TEJIDOS#MEDICINA INTERNA#OBTENCIÓN DE MUESTRAS#OFTALMOLOGÍA#PSICOLOGÍA CLÍNICA#PSIQUIATRÍA#RADIODIAGNÓSTICO#SERVICIO DE TRANSFUSIÓN#TERAPIA OCUPACIONAL;GERENCIA REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL SANTA BÁRBARA (COMPLEJO ASISTENCIAL DE SORIA);42-C11-0001;PS. DE SANTA BÁRBARA 0  ;42005;SORIA;SORIA;975234301;975234305;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#APARATO DIGESTIVO#BIOQUÍMICA CLÍNICA#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#DERMATOLOGÍA #DIÁLISIS#ENDOCRINOLOGÍA #ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#EXTRACCIÓN DE ÓRGANOS#EXTRACCIÓN DE SANGRE PARA DONACIÓN#FARMACIA#FISIOTERAPIA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HOSPITAL DE DÍA #IMPLANTACIÓN DE TEJIDOS#INSEMINACIÓN ARTIFICIAL#LABORATORIO DE HEMATOLOGÍA#LABORATORIO DE SEMEN PARA CAPACITACIÓN ESPERMÁTICA#MEDICINA INTENSIVA #MEDICINA INTERNA#MEDICINA PREVENTIVA#MICROBIOLOGÍA Y PARASITOLOGÍA#NEFROLOGÍA#NEUMOLOGÍA#NEUROFISIOLOGÍA #NEUROLOGÍA#NUTRICIÓN Y DIETÉTICA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#OBTENCIÓN DE TEJIDOS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#PEDIATRÍA#PLANIFICACIÓN FAMILIAR#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#REUMATOLOGÍA#SERVICIO DE TRANSFUSIÓN#TERAPIA OCUPACIONAL#URGENCIAS#UROLOGÍA;GERENCIA  REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL SANTA ISABEL (COMPLEJO ASISTENCIAL UNIVERSITARIO DE LEÓN) ;24-C14-0001;CR. DE MADRID, KM. 118  ;24005;LEON;LEON;987237400;987210405;HOSPITALES DE SALUD MENTAL Y TRATAMIENTO DE TOXICOMANÍAS;ENFERMERÍA#MEDICINA GENERAL /  DE FAMILIA#OBTENCIÓN DE MUESTRAS#PSICOLOGÍA CLÍNICA#PSIQUIATRÍA#TERAPIA OCUPACIONAL;COMUNIDAD DE CASTILLA Y LEÓN;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL SANTIAGO APÓSTOL;09-C11-0004;CR. DE ORÓN 0  ;09200;MIRANDA DE EBRO;BURGOS;947349014;947349014;HOSPITALES GENERALES;ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#APARATO DIGESTIVO#BIOQUÍMICA CLÍNICA#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#DERMATOLOGÍA #DIÁLISIS#ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#EXTRACCIÓN DE SANGRE PARA DONACIÓN#FARMACIA#FISIOTERAPIA#GERIATRÍA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HOSPITAL DE DÍA #IMPLANTACIÓN DE TEJIDOS#INTERRUPCIÓN VOLUNTARIA DEL EMBARAZO #MEDICINA INTERNA#MICROBIOLOGÍA Y PARASITOLOGÍA#OBSTETRICIA#OBTENCIÓN DE TEJIDOS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#PEDIATRÍA#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#SERVICIO DE TRANSFUSIÓN#URGENCIAS#UROLOGÍA;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL SANTOS REYES;09-C11-0003;AV. RUPERTA BARAYA 6  ;09400;ARANDA DE DUERO;BURGOS;947522000;947509192;HOSPITALES GENERALES;ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#APARATO DIGESTIVO#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#EXTRACCIÓN DE SANGRE PARA DONACIÓN#FARMACIA#FISIOTERAPIA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HOSPITAL DE DÍA #IMPLANTACIÓN DE TEJIDOS#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#MICROBIOLOGÍA Y PARASITOLOGÍA#OBSTETRICIA#OBTENCIÓN DE TEJIDOS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#PEDIATRÍA#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#SERVICIO DE TRANSFUSIÓN#URGENCIAS#UROLOGÍA;GERENCIA  REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL UNIVERSITARIO DE BURGOS (COMPLEJO ASISTENCIAL UNIVER. DE BURGOS);09-C11-0007;AV. ISLAS BALEARES   ;09006;BURGOS;BURGOS;947256533;0;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#ANGIOLOGÍA Y CIRUGÍA VASCULAR#APARATO DIGESTIVO#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#CIRUGÍA PEDIÁTRICA#CIRUGÍA PLASTICA Y REPARADORA#CUIDADOS INTENSIVOS NEONATALES#CUIDADOS INTERMEDIOS NEONATALES#DERMATOLOGÍA #DIÁLISIS#ENDOCRINOLOGÍA #ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#EXTRACCIÓN DE ÓRGANOS#FARMACIA#FISIOTERAPIA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HEMODINÁMICA#HOSPITAL DE DÍA #IMPLANTACIÓN DE TEJIDOS#INSEMINACIÓN ARTIFICIAL#LABORATORIO DE HEMATOLOGÍA#LABORATORIO DE SEMEN PARA CAPACITACIÓN ESPERMÁTICA#MEDICINA DEL TRABAJO#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTENSIVA #MEDICINA INTERNA#MEDICINA NUCLEAR#MEDICINA PREVENTIVA#MICROBIOLOGÍA Y PARASITOLOGÍA#NEFROLOGÍA#NEUMOLOGÍA#NEUROCIRUGÍA#NEUROFISIOLOGÍA #NEUROLOGÍA#NUTRICIÓN Y DIETÉTICA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#OBTENCIÓN DE TEJIDOS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#PEDIATRÍA#PSICOLOGÍA CLÍNICA#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#REUMATOLOGÍA#SERVICIO DE TRANSFUSIÓN#TERAPIA OCUPACIONAL#TRATAMIENTO DEL DOLOR#URGENCIAS#UROLOGÍA;GERENCIA  REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL UNIVERSITARIO DEL RÍO HORTEGA;47-C11-0008;CL. DULZAINA 2  ;47012;VALLADOLID;VALLADOLID;983420401;0;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANATOMÍA PATOLÓGICA#ANESTESIA Y REANIMACIÓN#ANGIOLOGÍA Y CIRUGÍA VASCULAR#APARATO DIGESTIVO#BANCO DE EMBRIONES#BANCO DE SEMEN#BIOQUÍMICA CLÍNICA#CARDIOLOGÍA#CIRUGÍA ESTÉTICA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAXILOFACIAL#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#CIRUGÍA PLASTICA Y REPARADORA#CIRUGÍA REFRACTIVA#CUIDADOS INTENSIVOS NEONATALES#CUIDADOS INTERMEDIOS NEONATALES#CUIDADOS PALIATIVOS#DERMATOLOGÍA #DIÁLISIS#ENDOCRINOLOGÍA #ENFERMERÍA#ENFERMERÍA OBSTÉTRICO - GINECOLÓGICA (MATRONA)#EXTRACCIÓN DE ÓRGANOS#FARMACIA#FARMACOLOGÍA CLÍNICA#FECUNDACIÓN IN VITRO#FISIOTERAPIA#GERIATRÍA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#HOSPITAL DE DÍA #IMPLANTACIÓN DE TEJIDOS#INMUNOLOGÍA#INSEMINACIÓN ARTIFICIAL#LABORATORIO DE HEMATOLOGÍA#LABORATORIO DE SEMEN PARA CAPACITACIÓN ESPERMÁTICA#MEDICINA DEL TRABAJO#MEDICINA INTENSIVA #MEDICINA INTERNA#MEDICINA PREVENTIVA#MICROBIOLOGÍA Y PARASITOLOGÍA#NEFROLOGÍA#NEUMOLOGÍA#NEUROCIRUGÍA#NEUROFISIOLOGÍA #NEUROLOGÍA#NUTRICIÓN Y DIETÉTICA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#OBTENCIÓN DE TEJIDOS#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#OTRAS UNIDADES ASISTENCIALES#PEDIATRÍA#PLANIFICACIÓN FAMILIAR#PSIQUIATRÍA#QUEMADOS#RADIODIAGNÓSTICO#RECUPERACIÓN DE OOCITOS#REHABILITACIÓN#REUMATOLOGÍA#SERVICIO DE TRANSFUSIÓN#TRASPLANTE DE ÓRGANOS#TRATAMIENTO DEL DOLOR#URGENCIAS#UROLOGÍA#VACUNACIÓN ;JUNTA DE CASTILLA Y LEÓN;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;
HOSPITAL VALLE DE LACIANA;24-C13-0003;AV. DE ASTURIAS 0  ;24100;VILLABLINO;LEON;987481057;987470837;HOSPITAL DE MEDIA Y LARGA ESTANCIA;DEPÓSITO DE MEDICAMENTOS#ENFERMERÍA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCIÓN DE MUESTRAS;GERENCIA DE SERVICIOS SOCIALES;OTRAS ENTIDADES/ORGANISMOS PÚBLIC.DEP.AUTONÓMICA;
